Type product;Brand;Model;Min price;Max price;Num offers;URL
Televisor;ECG;24;2 699;3 299 Kč;v 12 obchodech;https://televize.heureka.cz/ecg-24-h04t2s2/
Televisor;Philips;43PUS7505;7 942;12 324 Kč;v 29 obchodech;https://televize.heureka.cz/philips-43pus7505/
Televisor;Samsung;UE32T5302;6 331 Kč;no max price;vExtreme Digital Zrt.;https://www.heureka.cz/exit/edigital-cz/4231615125/?z=48
Televisor;Philips;75PUS8505;29 990;46 718 Kč;v 6 obchodech;https://televize.heureka.cz/philips-75pus8505/
Televisor;Samsung;QE50QN90A;31 490 Kč;no max price;v 6 obchodech;https://televize.heureka.cz/samsung-qe50qn90a/
Televisor;TCL;32DD420;3 689;4 990 Kč;v 30 obchodech;https://televize.heureka.cz/tcl-32dd420/
Televisor;Samsung;UE43AU9072;14 021;15 990 Kč;v 33 obchodech;https://televize.heureka.cz/samsung-ue43au9072/
Televisor;Sony;KE-55XH9096;18 290;25 171 Kč;v 11 obchodech;https://televize.heureka.cz/sony-ke-55xh9096/
Televisor;Sencor;SLE;6 999;10 165 Kč;v 43 obchodech;https://televize.heureka.cz/sencor-sle-43us601/
Televisor;LG;55UN7400;10 690;14 466 Kč;v 25 obchodech;https://televize.heureka.cz/lg-55un7400/
Televisor;LG;55EG9A7V;21 780 Kč;no max price;vTEshop;https://www.heureka.cz/exit/teshop-cz/2840437164/?z=48
Televisor;TCL;55C815;17 890;21 990 Kč;v 6 obchodech;https://televize.heureka.cz/tcl-55c815/
Televisor;Samsung;QE65Q95T;38 990;69 990 Kč;v 18 obchodech;https://televize.heureka.cz/samsung-qe65q95t/
Televisor;Sony;KD-55AG9;37 284;52 990 Kč;v 9 obchodech;https://televize.heureka.cz/sony-kd-55ag9/
Televisor;Sony;KD-85XH8096;49 989;61 360 Kč;v 22 obchodech;https://televize.heureka.cz/sony-kd-85xh8096/
Televisor;Hyundai;FLN;3 989;4 033 Kč;v 6 obchodech;https://televize.heureka.cz/hyundai-fln-24t459-smart/
Televisor;Hyundai;HLJ;4 502;6 409 Kč;v 15 obchodech;https://televize.heureka.cz/hyundai-hlj-32854/
Televisor;Samsung;UE43TU7092;9 798;11 990 Kč;v 20 obchodech;https://televize.heureka.cz/samsung-ue43tu7092/
Televisor;Samsung;QE43Q67T;14 990 Kč;no max price;v 5 obchodech;https://televize.heureka.cz/samsung-qe43q67t/
Televisor;LG;24TN510S;4 390;14 990 Kč;v 41 obchodech;https://televize.heureka.cz/lg-24tn510s/
Televisor;JVC;LT-32VF4905;4 799;4 886 Kč;v 5 obchodech;https://televize.heureka.cz/jvc-lt-32vf4905/
Televisor;GoGEN;TVF;2 990;3 386 Kč;v 22 obchodech;https://televize.heureka.cz/gogen-tvf-22p202t/
Televisor;Strong;SRT24HC4023;2 638;4 342 Kč;v 23 obchodech;https://televize.heureka.cz/strong-srt24hc4023/
Televisor;Samsung;UE50AU9072;15 556;18 294 Kč;v 65 obchodech;https://televize.heureka.cz/samsung-ue50au9072/
Televisor;Sony;KD-43XH8096;12 310;19 325 Kč;v 48 obchodech;https://televize.heureka.cz/sony-kd-43xh8096/
Televisor;Sony;KE-55A8;28 069;41 990 Kč;v 14 obchodech;https://televize.heureka.cz/sony-ke-55a8/
Televisor;Sony;KD-65XH9505;39 989;39 990 Kč;ve 3 obchodech;https://televize.heureka.cz/sony-kd-65xh9505/
Televisor;LG;43UN8000;9 848;9 990 Kč;ve 2 obchodech;https://televize.heureka.cz/lg-43un8000/
Televisor;Samsung;QE75Q64T;34 777;49 990 Kč;v 35 obchodech;https://televize.heureka.cz/samsung-qe75q64t/
Televisor;LG;65UN8100;18 343;22 990 Kč;v 5 obchodech;https://televize.heureka.cz/lg-65un8100/
Televisor;Samsung;QE55Q77T;19 990;22 990 Kč;v 12 obchodech;https://televize.heureka.cz/samsung-qe55q77t/
Televisor;TCL;40ES560;6 990;8 921 Kč;v 29 obchodech;https://televize.heureka.cz/tcl-40es560/
Televisor;LG;55UN7300;10 903;15 990 Kč;v 25 obchodech;https://televize.heureka.cz/lg-55un7300/
Televisor;ECG;32;3 990;5 509 Kč;v 24 obchodech;https://televize.heureka.cz/ecg-32-h06t2s2/
